±¸ºÐÄÚµå,¹øÈ£,¿¬°áµÈ Á¡,,,,xÁÂÇ¥,yÁÂÇ¥,½Ã°£Ç¥,,,,,,,,xÁÂÇ¥-raw,yÁÂÇ¥-raw
C,401,421,422,,,168.00 ,125.00 ,,,,,,,,,177,132
C,402,421,,,,157.00 ,125.00 ,,,,,,,,,166,132
C,403,420,421,,,151.00 ,125.00 ,,,,,,,,,160,132
C,404,420,421,,,146.00 ,125.00 ,,,,,,,,,155,132
C,405,420,421,,,141.00 ,125.00 ,,,,,,,,,150,132
C,406,420,,,,131.00 ,125.00 ,,,,,,,,,140,132
C,407,420,421,,,136.00 ,125.00 ,,,,,,,,,145,132
C,408,412,419,,,89.00 ,125.00 ,,,,,,,,,98,132
C,409,412,419,,,73.00 ,116.00 ,,,,,,,,,82,123
C,410,407,412,,,82.00 ,98.00 ,,,,,,,,,91,105
C,411,407,412,,,87.00 ,86.00 ,,,,,,,,,96,93
C,412,418,424,,,48.00 ,126.00 ,,,,,,,,,57,133
C,413,402,418,,,61.00 ,104.00 ,,,,,,,,,70,111
C,414,402,418,,,71.00 ,83.00 ,,,,,,,,,80,90
C,415,402,418,,,80.00 ,66.00 ,,,,,,,,,89,73
C,416,402,,,,83.00 ,65.00 ,,,,,,,,,92,72
C,417,402,403,,,96.00 ,65.00 ,,,,,,,,,105,72
C,418,403,404,,,117.00 ,65.00 ,,,,,,,,,126,72
C,419,403,404,,,138.00 ,65.00 ,,,,,,,,,147,72
C,420,404,405,,,161.00 ,65.00 ,,,,,,,,,170,72
C,421,408,409,,,133.00 ,83.00 ,,,,,,,,,142,90
C,422,409,410,,,162.00 ,83.00 ,,,,,,,,,171,90
C,423,401,417,,,203.00 ,104.00 ,,,,,,,,,212,111
C,424,401,417,,,206.00 ,98.00 ,,,,,,,,,215,105
C,425,401,417,,,213.00 ,86.00 ,,,,,,,,,222,93
C,426,401,417,,,216.00 ,80.00 ,,,,,,,,,225,87
C,427,401,417,,,220.00 ,73.00 ,,,,,,,,,229,80
C,428,401,417,,,223.00 ,68.00 ,,,,,,,,,232,75
C,429,401,417,,,227.00 ,61.00 ,,,,,,,,,236,68
C,430,401,417,,,227.00 ,61.00 ,,,,,,,,,236,68
C,431,401,417,,,223.00 ,68.00 ,,,,,,,,,232,75
C,432,401,417,,,220.00 ,73.00 ,,,,,,,,,229,80
C,433,401,417,,,216.00 ,80.00 ,,,,,,,,,225,87
C,434,401,417,,,213.00 ,85.00 ,,,,,,,,,222,92
C,435,401,417,,,210.00 ,92.00 ,,,,,,,,,219,99
C,436,401,417,,,206.00 ,98.00 ,,,,,,,,,215,105
C,437,401,417,,,203.00 ,104.00 ,,,,,,,,,212,111
C,438,417,423,,,200.00 ,111.00 ,,,,,,,,,209,118
C,439,417,423,,,197.00 ,117.00 ,,,,,,,,,206,124
C,440,417,423,,,194.00 ,121.00 ,,,,,,,,,203,128
C,441,422,423,,,191.00 ,123.00 ,,,,,,,,,200,130
C,501,521,522,,,168.00 ,125.00 ,,,,,,,,,177,132
C,502,520,521,,,151.00 ,125.00 ,,,,,,,,,160,132
C,503,520,521,,,134.00 ,125.00 ,,,,,,,,,143,132
C,504,520,521,,,135.00 ,125.00 ,,,,,,,,,144,132
C,505,510,511,,,111.00 ,116.00 ,,,,,,,,,120,123
C,506,518,519,,,93.00 ,125.00 ,,,,,,,,,102,132
C,507,505,518,,,71.00 ,118.00 ,,,,,,,,,80,125
C,508,505,518,,,75.00 ,111.00 ,,,,,,,,,84,118
C,509,505,518,,,79.00 ,105.00 ,,,,,,,,,88,112
C,510,505,518,,,83.00 ,96.00 ,,,,,,,,,92,103
C,511,505,518,,,86.00 ,88.00 ,,,,,,,,,95,95
C,512,517,524,,,48.00 ,126.00 ,,,,,,,,,57,133
C,513,502,517,,,60.00 ,104.00 ,,,,,,,,,69,111
