구분코드,번호,연결된 점,,,,x좌표,y좌표
E,B604,B605,,,,114,131
E,B606,B605,,,,114,131
E,B504,B504,,,,115,127
E,B506,B504,,,,115,127
E,B404,B402,,,,114,126
E,B406,B402,,,,114,126
E,B304,B305,,,,115,126.5
E,B306,B305,,,,115,126.5
E,B301,B302,,,,191,112
E,B302,B302,,,,191,112
E,B204,,,,,114.5,127
E,B206,,,,,114.5,127
E,B201,,,,,190,112
E,B202,,,,,190,112
E,B104,B101,B104,,,115,126.5
E,B106,B101,B104,,,115,126.5
E,B101,B103,,,,191.5,111
E,B102,B103,,,,191.5,111
E,B107,B108,,,,169.5,166.5
E,B109,B108,,,,169.5,166.5
E,101,104,,,,190,112
E,102,104,,,,190,112
E,103,101,106,,,114.5,126.5
E,104,101,106,,,114.5,126.5
E,105,101,106,,,114.5,126.5
E,106,101,106,,,114.5,126.5
E,107,109,,,,170,167
E,108,109,,,,170,167
E,109,109,,,,170,167
E,110,109,,,,170,167
E,201,206,,,,190.5,111
E,202,206,,,,190.5,111
E,203,202,,,,114.5,126.5
E,204,202,,,,114.5,126.5
E,205,202,,,,114.5,126.5
E,206,202,,,,114.5,126.5
E,207,208,,,,170.5,167
E,208,208,,,,170.5,167
E,209,208,,,,170.5,167
E,210,208,,,,170.5,167
E,301,303,,,,188,66
E,302,303,,,,188,66
E,303,302,305,,,111.5,81
E,304,302,305,,,111.5,81
E,305,302,305,,,111.5,81
E,306,302,305,,,111.5,81
E,307,314,321,,,167.5,121
E,308,314,321,,,167.5,121
E,309,314,321,,,167.5,121
E,310,314,321,,,167.5,121
E,401,406,,,,187,67
E,402,406,,,,187,67
E,403,403,408,,,112,82
E,404,403,408,,,112,82
E,405,403,408,,,112,82
E,406,403,408,,,112,82
E,407,414,421,,,167,122
E,408,414,421,,,167,122
E,409,414,421,,,167,122
E,410,414,421,,,167,122
E,501,504,,,,187,67
E,502,504,,,,187,67
E,503,503,506,,,112,82
E,504,503,506,,,112,82
E,505,503,506,,,112,82
E,506,503,506,,,112,82
E,507,513,521,,,167,122
E,508,513,521,,,167,122
E,509,513,521,,,167,122
E,510,513,521,,,167,122
E,601,604,,,,187,67
E,602,604,,,,187,67
E,603,603,606,,,112,82
E,604,603,606,,,112,82
E,605,603,606,,,112,82
E,606,603,606,,,112,82
E,607,613,621,,,167,122
E,608,613,621,,,167,122
E,609,613,621,,,167,122
E,610,613,621,,,167,122
E,701,705,,,,187,67
E,702,705,,,,187,67
E,703,703,707,,,112,82
E,704,703,707,,,112,82
E,705,703,707,,,112,82
E,706,703,707,,,112,82
E,707,714,721,,,167,122
E,708,714,721,,,167,122
E,709,714,721,,,167,122
E,710,714,721,,,167,122
E,801,804,,,,187,67
E,802,804,,,,187,67
E,803,803,806,,,112,82
E,804,803,806,,,112,82
E,805,803,806,,,112,82
E,806,803,806,,,112,82
E,807,811,818,,,167,122
E,808,811,818,,,167,122
E,809,811,818,,,167,122
E,810,811,818,,,167,122
E,901,904,,,,187,67
E,902,904,,,,187,67
E,903,903,906,,,112,82
E,904,903,906,,,112,82
E,905,903,906,,,112,82
E,906,903,906,,,112,82
E,907,912,918,,,167,122
E,908,912,918,,,167,122
E,909,912,918,,,167,122
E,910,912,918,,,167,122
E,1007,1006,,,,167,122
E,1008,1006,,,,167,122
E,1009,1006,,,,167,122
E,1010,1006,,,,167,122
E,1107,1105,,,,167,122
E,1108,1105,,,,167,122
E,1109,1105,,,,167,122
E,1110,1105,,,,167,122
E,1207,1204,,,,167,122
E,1208,1204,,,,167,122
E,1209,1204,,,,167,122
E,1210,1204,,,,167,122
